id;type;name;cin;gstin;nature_of_business;address;state;pincode;city;created_date;modified_date;deleted
1;lumbering boohoo;to brisk dishearten;factorize zowie yet;loose remark;er runway;woot;coaxingly more;absolve um bowling;Bel Air South;2025-06-13T13:24:05;2025-06-13T14:49:11;false
2;anaesthetise square clamor;tarragon bidet;nor times snow;goose;scientific perfectly;crooked meatloaf papa;questionably regarding how;manage;Clemensstad;2025-06-13T01:17:01;2025-06-13T14:15:10;false
3;ashamed pliers;blah;weakly upright cluttered;wherever aha;whereas cheese golden;yippee decision come;psst;athwart alligator;Jamarcusview;2025-06-13T06:44:29;2025-06-13T00:57:21;false
4;fooey regularly rule;what eek;bowler;to carelessly;colorful broadly;winged folklore;nor rightfully;proper and structure;Port Tressieborough;2025-06-13T13:34:23;2025-06-13T01:40:58;false
5;why well-groomed than;that barring proper;yippee apud rightfully;really;yum hence;because;gee spirit more;verify er;Gretchenborough;2025-06-13T03:20:24;2025-06-13T14:53:33;true
6;nifty above noxious;off;notwithstanding drat;meh;pro;for however;retrospectivity;pish;Elwynborough;2025-06-13T09:48:11;2025-06-13T13:21:52;true
7;whopping before;nearly sympathetically afore;mysteriously;grouchy inside;coarse hm extent;stormy;speedy pace ill-fated;unless huzzah;East Cruzfort;2025-06-12T18:23:06;2025-06-12T18:39:17;false
8;profane fork phooey;politely frizzy;apropos;ugh;degenerate;how;possible captain;inasmuch supplier as;Hilpertville;2025-06-13T04:07:25;2025-06-13T01:01:40;false
9;abaft;boohoo meager via;late bicycle;yowza;drug icebreaker blah;present upset legislature;information;consequently;Estefaniaberg;2025-06-13T13:32:09;2025-06-12T22:52:22;true
10;soybean veto;elver;lest mmm;quizzically trivial uh-huh;mmm rudely;yawningly oof;um or;uproot whether list;Fadelfort;2025-06-13T14:02:42;2025-06-13T10:34:53;false
