id;sanitized_tm;phonetic_pk;phonetic_sk;complete
1;hamper mechanically agitated;what;shoo inasmuch register;false
2;yuck id folder;although;lighthearted nor;true
3;evict daintily;foolishly alongside now;nutritious communist;true
4;reassign;terrible atop;slick;false
5;for;wipe;buzzing for once;false
6;gelatin delightfully;soon finally before;between around yet;true
7;unfit;while;trustworthy mankind;false
8;outside indeed artistic;somewhere diploma;gadzooks unabashedly;true
9;actually and meteorology;aside yippee save;circa;false
10;caring;unless to alongside;fob noisily pure;true
