id;sanitized_tm;phonetic_pk;phonetic_sk;complete
1;er;truly when;till however deprecate;false
2;boiling bleakly excellent;roam airlift overrun;for;false
3;free geez;nor brr under;accelerant rigidly to;false
4;kookily;where phew;bashfully;false
5;yum adventurously;spot lest madly;pantry for;true
6;yippee;yawningly hmph failing;terribly;false
7;beautifully um;sometimes gosh;against transcript;true
8;dim humiliating whether;or previous boohoo;love geez;true
9;chimpanzee;effect gee inside;nor sturdy;true
10;whereas deploy void;failing before;waterwheel immediate;true
