id;code;tm_class;keyword;title;description;created_date;modified_date;deleted
1;20199;25669;if instantly;best-seller dearly;reprimand;2025-07-15T23:36:10;2025-07-15T20:42:02;false
2;12964;11239;contradict below major;or as tabulate;idolized;2025-07-16T04:12:16;2025-07-16T09:51:01;true
3;9392;20942;window inveigle magnetize;huzzah whenever;till twine;2025-07-16T09:26:12;2025-07-16T01:07:42;false
4;11348;30989;notwithstanding;juvenile;on deceivingly;2025-07-15T18:18:18;2025-07-16T03:40:39;true
5;15429;3146;ashamed;if through vaguely;rosemary arrange notarize;2025-07-15T15:15:18;2025-07-15T22:30:45;true
6;3603;25701;psst boohoo nor;ew gosh;over dwell;2025-07-15T15:23:58;2025-07-16T07:11:27;true
7;30889;6288;boom;uh-huh;terribly;2025-07-16T09:40:09;2025-07-15T21:31:37;false
8;29475;12847;oh;finally clamour;neatly safely ha;2025-07-15T21:23:13;2025-07-15T14:45:24;false
9;6212;5245;precious uh-huh;stigmatize recklessly;fast hasty rawhide;2025-07-16T02:00:23;2025-07-15T22:40:48;true
10;7362;5777;daily;helplessly boohoo lest;aside optimistically;2025-07-16T00:12:26;2025-07-15T16:45:56;false
