id;name;fees;notes;created_date;deleted;modified_date
1;pike pluck ack;30886.56;biodegrade only beside;2025-09-13T23:50:03;true;2025-09-13T07:46:59
2;honestly;27123.18;gut;2025-09-13T12:45:05;false;2025-09-13T08:49:51
3;concerning bowed swine;14013.66;until geez sailor;2025-09-14T02:57:17;false;2025-09-13T07:42:58
4;what phony;9597.54;alert;2025-09-14T02:32:52;true;2025-09-14T00:19:21
5;tabulate boyfriend pupil;27445.43;um meh milky;2025-09-13T16:35:59;true;2025-09-13T18:43:56
6;mummify except agreement;810.83;molasses;2025-09-14T04:19:14;false;2025-09-13T10:21:21
7;bleakly;11869.58;help;2025-09-13T06:24:06;false;2025-09-13T18:38:23
8;authorized after;32313.68;lively duh crossly;2025-09-13T07:20:32;false;2025-09-13T21:48:04
9;maroon tousle scornful;8720.09;yet yet roadway;2025-09-13T22:56:06;false;2025-09-14T05:17:21
10;obedience once among;10812.28;pro;2025-09-14T04:56:41;false;2025-09-13T23:28:14
