id;frequency;word;created_date;deleted;modified_date
1;9021;government snoopy boo;2026-01-11T15:52:04;true;2026-01-12T00:02:26
2;32513;smog nautical;2026-01-12T00:05:27;false;2026-01-11T20:53:39
3;1663;delightfully scamper;2026-01-11T18:34:30;true;2026-01-12T05:58:23
4;30435;warm whoa chubby;2026-01-12T02:46:43;false;2026-01-11T20:33:06
5;24819;pretend or;2026-01-12T05:28:44;true;2026-01-11T17:56:40
6;15610;irritably enormously frivolous;2026-01-12T07:12:58;false;2026-01-12T02:21:30
7;5427;euphonium dissemble cross-contamination;2026-01-11T14:53:06;true;2026-01-12T03:49:31
8;21074;despite;2026-01-12T03:34:51;false;2026-01-11T19:37:54
9;5494;boo;2026-01-11T10:25:49;false;2026-01-11T16:34:34
10;5789;actual after antagonize;2026-01-11T14:38:59;false;2026-01-11T17:11:27
